bedrooms,bathrooms,toilets,parking_space,title,town,state,price,lat,lon,town_state
6,5,5,4,Detached Duplex,Mabushi,Abuja,450000000.0,9.083767,7.44939,"Mabushi, Abuja"
4,5,5,4,Terraced Duplexes,Katampe,Abuja,800000000.0,9.102851,7.461718,"Katampe, Abuja"
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,25000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,37000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
5,6,7,6,Detached Duplex,Katampe,Abuja,160000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,6,6,Detached Duplex,Kaura,Abuja,150000000.0,9.003157,7.445613,"Kaura, Abuja"
4,4,5,8,Detached Duplex,Galadimawa,Abuja,70000000.0,8.992227,7.424376,"Galadimawa, Abuja"
6,6,7,8,Detached Duplex,Gwarinpa,Abuja,130000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,5,5,4,Semi Detached Duplex,Gwarinpa,Abuja,75000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
5,5,5,4,Detached Bungalow,Katampe,Abuja,130000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,6,1,Detached Duplex,Gwarinpa,Abuja,300000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,4,5,1,Semi Detached Duplex,Galadimawa,Abuja,50000000.0,8.992227,7.424376,"Galadimawa, Abuja"
3,4,4,6,Detached Duplex,Lugbe District,Abuja,30000000.0,8.964455,7.382618,"Lugbe District, Abuja"
4,5,6,4,Terraced Duplexes,Katampe,Abuja,131000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,6,2,Terraced Duplexes,Kaura,Abuja,70000000.0,9.003157,7.445613,"Kaura, Abuja"
4,5,5,4,Terraced Duplexes,Jahi,Abuja,75000000.0,9.109621,7.438754,"Jahi, Abuja"
4,5,5,4,Detached Duplex,Orozo,Abuja,52500000.0,8.9001,7.5728,"Orozo, Abuja"
5,6,8,1,Detached Duplex,Guzape District,Abuja,280000000.0,9.011248,7.507273,"Guzape District, Abuja"
3,3,4,4,Block of Flats,Idu Industrial,Abuja,135000000.0,9.032499,7.389477,"Idu Industrial, Abuja"
4,4,5,4,Detached Duplex,Gwarinpa,Abuja,80000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
2,5,5,4,Semi Detached Bungalow,Galadimawa,Abuja,30000000.0,8.992227,7.424376,"Galadimawa, Abuja"
5,5,6,4,Detached Duplex,Katampe,Abuja,150000000.0,9.102851,7.461718,"Katampe, Abuja"
5,5,3,6,Detached Duplex,Utako,Abuja,250000000.0,9.06911,7.44353,"Utako, Abuja"
6,6,7,1,Detached Duplex,Guzape District,Abuja,300000000.0,9.011248,7.507273,"Guzape District, Abuja"
4,3,3,4,Terraced Duplexes,Guzape District,Abuja,49900000.0,9.011248,7.507273,"Guzape District, Abuja"
4,4,4,2,Semi Detached Duplex,Kuje,Abuja,13000000.0,8.879631,7.227202,"Kuje, Abuja"
4,4,5,3,Terraced Duplexes,Jahi,Abuja,65000000.0,9.109621,7.438754,"Jahi, Abuja"
5,5,6,4,Detached Duplex,Gwarinpa,Abuja,150000000.0,9.109821,7.392965,"Gwarinpa, Abuja"
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.067538,7.404183,"Life Camp, Abuja"
4,4,5,4,Terraced Duplexes,Dape,Abuja,45000000.0,9.177245,7.572778,"Dape, Abuja"
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,65000000.0,9.011248,7.507273,"Guzape District, Abuja"
5,5,6,8,Detached Duplex,Lokogoma District,Abuja,120000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
4,4,4,4,Detached Bungalow,Lokogoma District,Abuja,30000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
5,5,6,4,Terraced Duplexes,Gaduwa,Abuja,38000000.0,8.997222,7.4675,"Gaduwa, Abuja"
2,5,5,4,Detached Bungalow,Idu Industrial,Abuja,10000000.0,9.032499,7.389477,"Idu Industrial, Abuja"
4,5,5,4,Detached Duplex,Guzape District,Abuja,180000000.0,9.011248,7.507273,"Guzape District, Abuja"
5,5,6,8,Detached Duplex,Dakwo,Abuja,80000000.0,8.961023,7.440529,"Dakwo, Abuja"
5,5,6,1,Detached Duplex,Asokoro District,Abuja,150000000.0,9.042346,7.519686,"Asokoro District, Abuja"
3,5,5,4,Detached Bungalow,Lokogoma District,Abuja,40000000.0,8.968154,7.464076,"Lokogoma District, Abuja"
